50;date;money; ;75;date;money; ;100;date;money; ;125;date;money; ;150;date;money; ;
1531;08.01.2013 10:00:00;99,99; ;1531;08.01.2013 10:00:00;99,99; ;1531;08.01.2013 10:00:00;99,99; ;1531;08.01.2013 10:00:00;99,99; ;1531;08.01.2013 10:00:00;99,99; ;
1707;09.01.2013 11:14:00;100,95; ;1739;09.01.2013 13:46:00;101,18; ;1770;09.01.2013 18:03:00;101,18; ;1814;10.01.2013 11:20:00;101,16; ;1883;10.01.2013 19:30:00;101,72; ;
1793;09.01.2013 23:02:00;100,51; ;1830;10.01.2013 12:48:00;101,14; ;1858;10.01.2013 16:34:00;101,12; ;1880;10.01.2013 19:06:00;100,45; ;1889;10.01.2013 19:58:00;101,8; ;
1853;10.01.2013 15:59:00;100,48; ;2234;15.01.2013 14:05:00;103,77; ;2269;15.01.2013 17:12:00;102,84; ;2294;15.01.2013 18:41:00;101,55; ;2320;15.01.2013 22:09:00;103,27; ;
1873;10.01.2013 18:14:00;100,59; ;2464;16.01.2013 21:39:00;104,74; ;2492;17.01.2013 11:31:00;102,7; ;2513;17.01.2013 12:45:00;101,15; ;2538;17.01.2013 14:29:00;102,61; ;
2216;15.01.2013 12:44:00;103,03; ;2872;21.01.2013 16:06:00;108,57; ;2974;22.01.2013 12:51:00;104,83; ;2981;22.01.2013 13:10:00;102,88; ;3001;22.01.2013 14:26:00;104,12; ;
2437;16.01.2013 17:33:00;103,84; ;2889;21.01.2013 18:25:00;108,64; ;3139;23.01.2013 12:48:00;104,52; ;3170;23.01.2013 14:59:00;101,99; ;3200;23.01.2013 17:31:00;103,21; ;
2826;21.01.2013 11:51:00;107,2; ;2964;22.01.2013 12:32:00;107,88; ;3292;24.01.2013 12:31:00;104,18; ;3310;24.01.2013 13:39:00;101,12; ;3332;24.01.2013 14:56:00;102,11; ;
2870;21.01.2013 15:55:00;106,73; ;3094;23.01.2013 10:06:00;108,1; ;3439;25.01.2013 10:01:00;104,2; ;3475;25.01.2013 12:05:00;100,88; ;3504;25.01.2013 13:49:00;101,31; ;
2943;22.01.2013 10:59:00;106,08; ;3271;24.01.2013 11:16:00;107,73; ;3973;29.01.2013 16:16:00;108,46; ;3996;29.01.2013 17:37:00;104,89; ;4022;29.01.2013 19:10:00;104,64; ;
3061;22.01.2013 20:18:00;106,64; ;3404;24.01.2013 19:43:00;107,3; ;4088;30.01.2013 11:21:00;107,73; ;4117;30.01.2013 12:37:00;103,48; ;4123;30.01.2013 12:47:00;103,16; ;
3132;23.01.2013 12:23:00;106,57; ;3486;25.01.2013 12:42:00;107,46; ;4252;30.01.2013 19:58:00;107,88; ;4288;30.01.2013 23:43:00;103; ;4321;31.01.2013 11:10:00;102,33; ;
3164;23.01.2013 14:31:00;105,9; ;3498;25.01.2013 13:22:00;107,25; ;4374;31.01.2013 13:06:00;106,9; ;4387;31.01.2013 13:36:00;102,04; ;4398;31.01.2013 13:56:00;100,65; ;
3241;23.01.2013 21:38:00;105,79; ;3955;29.01.2013 15:18:00;110,51; ;4668;01.02.2013 14:24:00;107,41; ;4692;01.02.2013 15:11:00;101,31; ;4710;01.02.2013 16:05:00;99,66; ;
3386;24.01.2013 18:35:00;106,24; ;4058;29.01.2013 23:29:00;109,89; ;4869;04.02.2013 11:09:00;108,28; ;4912;04.02.2013 12:48:00;100,87; ;4949;04.02.2013 14:43:00;99,5; ;
3449;25.01.2013 10:30:00;105,91; ;4225;30.01.2013 18:14:00;110,09; ;4980;04.02.2013 16:10:00;107,63; ;4979;04.02.2013 16:07:00;99,96; ;4992;04.02.2013 16:43:00;98,78; ;
3492;25.01.2013 13:03:00;105,15; ;4366;31.01.2013 12:54:00;108,68; ;5182;05.02.2013 16:11:00;107,66; ;5214;05.02.2013 18:00:00;100,28; ;5248;05.02.2013 20:56:00;98,88; ;
3844;29.01.2013 11:06:00;108,92; ;4486;31.01.2013 18:05:00;108,79; ;5426;06.02.2013 18:08:00;106,39; ;5447;06.02.2013 19:20:00;99,34; ;5466;06.02.2013 20:18:00;98,12; ;
3876;29.01.2013 12:21:00;107,88; ;4527;31.01.2013 20:10:00;108,15; ;5890;08.02.2013 12:54:00;107,98; ;5928;08.02.2013 14:37:00;100,21; ;5954;08.02.2013 15:30:00;98,56; ;
3937;29.01.2013 14:30:00;106,66; ;4632;01.02.2013 12:50:00;107,8; ;6332;11.02.2013 20:29:00;109,77; ;6343;11.02.2013 21:24:00;101,23; ;6357;11.02.2013 22:32:00;98,93; ;
4014;29.01.2013 18:34:00;106,72; ;4824;01.02.2013 22:59:00;108,37; ;6466;12.02.2013 13:32:00;108,54; ;6489;12.02.2013 14:40:00;99,79; ;6503;12.02.2013 15:03:00;96,97; ;
